,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
0,2023-543617,2023-01-05,1,Vente,400000.0,12.0,,RUE TURGOT,9508,75009.0,75109,Paris 9e Arrondissement,75,,,75109000BD0036,,,831,43.8,,,,,,,,,1,2.0,Appartement,43.0,1.0,,,,,,2.345859,48.880564
1,2023-543625,2023-01-06,1,Vente,360000.0,128.0,,RUE LEGENDRE,5473,75017.0,75117,Paris 17e Arrondissement,75,,,75117000DK0100,,,70,35.02,,,,,,,,,1,2.0,Appartement,36.0,1.0,,,,,,2.322435,48.888709
2,2023-543633,2023-01-04,1,Vente,260000.0,11.0,,RUE DE LA CR DES NOUES,2391,75020.0,75120,Paris 20e Arrondissement,75,,,75120000CI0056,,,176,28.35,,,,,,,,,1,2.0,Appartement,29.0,1.0,,,,,,2.402664,48.863589
3,2023-543636,2023-01-05,1,Vente,600000.0,332.0,,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,,,75120000AK0011,,,14,54.07,,,,,,,,,1,2.0,Appartement,60.0,3.0,,,,,,2.390441,48.87336
4,2023-543638,2023-01-09,1,Vente,285000.0,75.0,,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,,,75108000CI0040,,,104,24.92,,,,,,,,,1,2.0,Appartement,19.0,1.0,,,,,,2.316495,48.876937
5,2023-543639,2023-01-06,1,Vente,916000.0,40.0,T,QUAI DE JEMMAPES,4964,75010.0,75110,Paris 10e Arrondissement,75,,,75110000BI0034,,,367,71.21,,,,,,,,,1,2.0,Appartement,77.0,3.0,,,,,,2.367918,48.869554
6,2023-543640,2023-01-09,1,Vente,240000.0,11.0,,RUE ORFILA,6924,75020.0,75120,Paris 20e Arrondissement,75,,,75120000CC0078,,,22,13.57,,,,,,,,,1,2.0,Appartement,16.0,1.0,,,,,,2.395193,48.865921
7,2023-543643,2023-01-04,1,Vente,378000.0,11.0,,RUE POUCHET,7766,75017.0,75117,Paris 17e Arrondissement,75,,,75117000DG0107,,,9,33.79,,,,,,,,,1,2.0,Appartement,35.0,2.0,,,,,,2.318768,48.892352
8,2023-543646,2023-01-04,1,Vente,175000.0,118.0,,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,,,75117000DM0053,,,22,,,,,,,,,,1,2.0,Appartement,21.0,1.0,,,,,,2.323507,48.893177
9,2023-543649,2023-01-06,1,Vente,1163879.0,80.0,,RUE DES MARTYRS,6147,75018.0,75118,Paris 18e Arrondissement,75,,,75118000BQ0092,,,11,,,,,,,,,,1,2.0,Appartement,81.0,4.0,,,,,,2.340104,48.883046
10,2023-543651,2023-01-06,1,Vente,571000.0,262.0,,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,,,75120000BV0113,,,12,,,,,,,,,,1,2.0,Appartement,54.0,2.0,,,,,,2.395486,48.869483
11,2023-543652,2023-01-04,1,Vente,472350.0,25.0,,RUE DES ORMEAUX,6942,75020.0,75120,Paris 20e Arrondissement,75,,,75120000DT0009,,,6,,,,,,,,,,1,2.0,Appartement,52.0,3.0,,,,,,2.400478,48.851529
12,2023-543659,2023-01-06,1,Vente,374150.0,43.0,,RUE DE LA REUNION,8180,75020.0,75120,Paris 20e Arrondissement,75,,,75120000DR0073,,,14,38.67,,,,,,,,,1,2.0,Appartement,34.0,3.0,,,,,,2.401679,48.854807
13,2023-543665,2023-01-11,1,Vente,94000.0,2.0,,RUE DE LAGHOUAT,5261,75018.0,75118,Paris 18e Arrondissement,75,,,75118000CF0100,,,2,14.37,,,,,,,,,1,2.0,Appartement,15.0,1.0,,,,,,2.355989,48.888112
