IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
010040101;41,8;32,7;10940;18240;24950;0,77;6220;9630;12440;15560;20800;23330;26980;32690;5,3;6,8;0,328;68,0;61,1;4,0;2,9;28,8;3,2;0
010040102;39,0;41,1;9010;15860;23660;0,92;4030;7750;10150;12960;18480;21760;25450;31420;7,8;9,7;0,370;70,4;63,2;4,8;2,4;26,3;3,3;0
010040201;45,6;29,2;11700;19130;27000;0,80;6150;10030;13260;16360;22010;25210;28740;35260;5,7;7,6;0,342;68,9;61,5;3,9;3,5;27,9;3,2;0
010040202;59,8;14,0;17500;24790;33710;0,65;10820;15850;19050;22060;27930;31540;36600;44470;4,1;5,5;0,317;69,9;63,7;2,7;3,5;23,4;6,7;0
010330102;39,1;30,6;11100;19090;29590;0,97;4930;9220;12910;16210;22850;26920;32470;42230;8,6;10,7;0,391;73,2;66,6;5,0;1,6;23,8;3,0;0
010330103;45,3;20,7;14850;23190;35590;0,89;7690;12610;16600;19620;27720;32680;39160;50120;6,5;8,3;0,369;76,5;70,1;4,3;2,1;20,1;3,4;0
010330201;48,8;20,0;15520;24940;36700;0,85;8900;13240;17500;21190;28620;33000;40640;54170;6,1;8,0;0,369;71,6;66,3;3,3;2,0;25,8;2,6;0
010330202;38,5;34,0;10600;18040;26970;0,91;5390;8520;12060;15040;20980;24940;29650;39750;7,4;9,7;0,378;68,4;62,1;5,0;1,3;30,1;1,5;0
010330301;37,7;28,5;11540;20750;29140;0,85;6630;10320;13960;17320;23630;27200;32330;42880;6,5;8,0;0,355;79,6;74,6;4,3;0,7;18,8;1,6;0
010330401;54,4;10,9;19410;28680;40200;0,72;12740;17490;21260;25230;32350;37720;43770;56490;4,4;5,9;0,334;76,5;70,6;3,2;2,7;17,8;5,7;0
010340101;51,3;15,9;16330;21910;29250;0,59;9980;14750;17590;19730;24250;27410;31530;39060;3,9;5,2;0,303;63,6;55,8;2,9;4,9;31,2;5,2;1
010340102;44,9;27,7;11940;18740;26980;0,80;6420;10150;13810;16620;21450;24710;29270;37970;5,9;7,5;0,344;60,3;53,2;3,5;3,6;36,4;3,3;1
010340103;39,4;41,9;8400;15510;23710;0,99;5010;7480;9890;12670;18480;21760;25680;34170;6,8;10,2;0,406;61,3;54,6;4,6;2,1;33,8;4,9;1
