;IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20;keep
9761;751010101;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9762;751010102;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9763;751010103;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9764;751010104;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9765;751010105;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9766;751010199;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;1
9767;751010201;67,1;19,8;16640;32560;55990;1,21;6180;13350;20390;25730;39270;49290;63430;86660;14,0;23,7;0,547;79,6;71,9;3,2;4,5;10,4;10,0;0;1
9768;751010202;76,5;13,4;22820;40930;68580;1,12;10740;18250;27150;33140;49970;61310;80310;114300;10,6;18,8;0,527;68,8;58,8;2,9;7,1;8,8;22,4;0;1
9769;751010203;70,7;14,4;19840;35250;60290;1,15;9690;17400;22370;28920;41950;54930;70070;105430;10,9;15,9;0,499;71,8;61,4;2,6;7,8;15,4;12,8;0;1
9770;751010204;71,4;14,7;17560;33490;53350;1,07;10370;15240;21280;27250;40140;48890;59170;87890;8,5;13,3;0,474;75,6;67,1;2,8;5,7;13,5;10,9;0;1
9771;751010205;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9772;751010206;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9773;751010301;72,0;14,9;21250;41270;71570;1,22;9130;16820;24830;32950;50750;63370;83110;132280;14,5;20,9;0,523;68,0;57,5;2,4;8,1;14,2;17,8;0;1
9774;751010302;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9775;751010303;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;1
9776;751010401;76,5;s;25020;48050;86420;1,28;13410;20360;28340;38530;58860;76180;94220;150920;11,3;23,2;0,582;69,3;59,2;2,1;8,0;11,3;19,4;0;1
9777;751010402;72,6;s;21830;40850;78130;1,38;8710;18810;25510;32920;49600;65790;91110;126030;14,5;22,4;0,552;68,4;60,8;2,3;5,3;10,0;21,6;0;1
